image_names,cell_type,xmin,xmax,ymin,ymax
00000.jpg,WBC,260,491,177,376
00000.jpg,RBC,78,184,336,435
00000.jpg,RBC,63,169,237,336
00000.jpg,RBC,214,320,362,461
00000.jpg,RBC,414,506,352,445
00000.jpg,RBC,555,640,356,455
00000.jpg,RBC,469,567,412,480
00000.jpg,RBC,1,87,333,437
00000.jpg,RBC,4,95,406,480
00000.jpg,RBC,155,247,74,174
00000.jpg,RBC,11,104,84,162
00000.jpg,RBC,534,639,39,139
00000.jpg,RBC,547,640,195,295
00000.jpg,RBC,388,481,11,111
00000.jpg,RBC,171,264,175,275
00000.jpg,RBC,260,374,1,83
00000.jpg,RBC,229,343,91,174
00000.jpg,RBC,69,184,144,235
00000.jpg,RBC,482,594,131,230
00000.jpg,RBC,368,464,89,176
00001.jpg,WBC,68,286,315,480
00001.jpg,RBC,346,446,361,454
00001.jpg,RBC,53,146,179,299
00001.jpg,RBC,449,536,400,480
00001.jpg,RBC,461,548,132,212
00001.jpg,RBC,454,541,295,375
00001.jpg,RBC,417,508,283,383
00001.jpg,RBC,278,369,342,451
00001.jpg,RBC,545,636,62,159
00001.jpg,RBC,485,576,91,188
00001.jpg,RBC,376,438,171,253
00001.jpg,RBC,329,395,177,271
00001.jpg,RBC,291,407,59,168
00001.jpg,RBC,299,404,1,68
00001.jpg,RBC,346,449,26,138
00001.jpg,RBC,134,241,1,95
00001.jpg,RBC,1,98,38,164
00001.jpg,RBC,165,257,160,264
00001.jpg,RBC,464,566,209,319
00002.jpg,RBC,385,523,98,198
00002.jpg,RBC,384,499,164,260
00002.jpg,RBC,101,224,120,222
00002.jpg,RBC,130,234,344,443
00002.jpg,RBC,161,254,381,480
00002.jpg,RBC,14,123,228,344
00002.jpg,RBC,306,415,293,409
00002.jpg,RBC,531,632,103,221
00002.jpg,RBC,492,593,233,347
00002.jpg,RBC,364,465,261,375
00002.jpg,RBC,264,365,60,174
00002.jpg,RBC,249,369,174,296
00002.jpg,WBC,283,567,1,106
00002.jpg,RBC,109,202,1,98
00002.jpg,RBC,135,228,66,164
00002.jpg,RBC,480,590,374,480
00003.jpg,WBC,127,344,40,226
00003.jpg,RBC,317,424,93,195
00003.jpg,RBC,379,471,146,234
00003.jpg,RBC,504,614,210,302
00003.jpg,RBC,417,553,248,369
00003.jpg,RBC,514,615,13,136
00003.jpg,RBC,417,520,1,88
00003.jpg,RBC,1,79,126,240
00003.jpg,RBC,47,158,202,317
00003.jpg,RBC,314,424,284,377
00003.jpg,RBC,365,484,350,451
00003.jpg,RBC,1,86,347,434
00003.jpg,RBC,49,183,396,480
00003.jpg,RBC,514,595,385,477
00003.jpg,RBC,56,151,66,211
00003.jpg,RBC,213,333,253,368
00003.jpg,Platelets,335,370,268,299
00004.jpg,WBC,109,324,134,321
00004.jpg,RBC,432,528,242,325
00004.jpg,RBC,510,606,112,195
00004.jpg,RBC,482,594,361,475
00004.jpg,RBC,75,166,281,375
00004.jpg,RBC,38,147,1,62
00004.jpg,RBC,288,390,33,131
00004.jpg,RBC,411,527,66,185
00004.jpg,RBC,1,102,82,198
00004.jpg,RBC,1,81,283,372
00004.jpg,RBC,1,78,315,397
00004.jpg,RBC,391,469,373,455
00004.jpg,Platelets,127,163,47,81
00005.jpg,RBC,273,386,115,222
00005.jpg,RBC,56,169,103,210
00005.jpg,RBC,414,518,42,170
00005.jpg,RBC,536,640,74,202
00005.jpg,RBC,474,578,193,321
00005.jpg,RBC,466,570,337,465
00005.jpg,RBC,420,524,352,480
00005.jpg,RBC,215,314,174,281
00005.jpg,RBC,380,479,181,288
00005.jpg,RBC,1,99,64,171
00005.jpg,RBC,324,444,1,87
00005.jpg,RBC,162,290,1,70
00005.jpg,RBC,173,260,165,270
00005.jpg,RBC,139,226,191,296
00005.jpg,RBC,103,190,211,316
00005.jpg,RBC,29,116,231,336
00005.jpg,Platelets,170,207,65,100
00005.jpg,Platelets,6,43,401,436
00005.jpg,Platelets,124,161,305,340
00005.jpg,WBC,230,441,288,480
00005.jpg,RBC,151,236,298,423
00005.jpg,RBC,63,174,19,97
00006.jpg,WBC,117,290,190,360
00006.jpg,Platelets,89,131,184,221
00006.jpg,Platelets,65,107,203,240
